2018-01-11,(AM),Heavy Traffic:933,Other:209,Mechanical Problem:174,(PM),Heavy Traffic:135,Other:50,Mechanical Problem:36
2018-01-18,(AM),Heavy Traffic:1313,Other:331,Mechanical Problem:207,(PM),Heavy Traffic:287,Mechanical Problem:102,Other:57
2018-01-25,(AM),Heavy Traffic:1234,Other:298,Mechanical Problem:205,(PM),Heavy Traffic:211,Mechanical Problem:66,Other:55
2018-02-01,(AM),Heavy Traffic:864,Other:191,Mechanical Problem:159,(PM),Heavy Traffic:127,Other:68,Mechanical Problem:52
2018-02-08,(AM),Heavy Traffic:1063,Other:243,Mechanical Problem:182,(PM),Heavy Traffic:148,Other-Mechanical Problem:70,Won`t Start:44
2018-02-15,(AM),Heavy Traffic:264,Other:59,Mechanical Problem:53,(PM),Heavy Traffic:64,Other:40,Late return from Field Trip:20
2018-02-22,(AM),Heavy Traffic:903,Mechanical Problem:235,Other:213,(PM),Heavy Traffic:137,Mechanical Problem:64,Other:51
2018-03-01,(AM),Heavy Traffic:1464,Mechanical Problem:286,Other:238,(PM),Heavy Traffic:340,Weather Conditions:73,Mechanical Problem:66
2018-03-08,(AM),Heavy Traffic:1802,Other:307,Mechanical Problem:244,(PM),Heavy Traffic:318,Mechanical Problem:92,Other:76
2018-03-15,(AM),Heavy Traffic:1337,Other:274,Mechanical Problem:214,(PM),Heavy Traffic:256,Mechanical Problem:75,Other:49
2018-03-22,(AM),Heavy Traffic:1367,Other:328,Weather Conditions:264,(PM),Heavy Traffic:333,Mechanical Problem:72,Other:67
2018-03-29,(AM),Heavy Traffic:220,Other:43,Mechanical Problem:20,(PM),Heavy Traffic:43,Mechanical Problem:11,Other:7
2018-04-05,(AM),Heavy Traffic:766,Mechanical Problem:197,Other:193,(PM),Heavy Traffic:147,Mechanical Problem:64,Other:38
2018-04-12,(AM),Heavy Traffic:1025,Other:197,Mechanical Problem:190,(PM),Heavy Traffic:306,Mechanical Problem:88,Other:54
2018-04-19,(AM),Heavy Traffic:1376,Other:237,Mechanical Problem:192,(PM),Heavy Traffic:284,Mechanical Problem:62,Late return from Field Trip:60
2018-04-26,(AM),Heavy Traffic:1515,Mechanical Problem:245,Other:240,(PM),Heavy Traffic:423,Late return from Field Trip:141,Mechanical Problem:97
2018-05-03,(AM),Heavy Traffic:1112,Other:244,Mechanical Problem:195,(PM),Heavy Traffic:321,Mechanical Problem:97,Other:61
2018-05-10,(AM),Heavy Traffic:962,Other:270,Mechanical Problem:184,(PM),Heavy Traffic:351,Late return from Field Trip:104,Other:76
2018-05-17,(AM),Heavy Traffic:1229,Other:232,Mechanical Problem:186,(PM),Heavy Traffic:296,Mechanical Problem:74,Late return from Field Trip:69
2018-05-24,(AM),Heavy Traffic:909,Other:195,Mechanical Problem:148,(PM),Heavy Traffic:228,Late return from Field Trip:116,Mechanical Problem:60
2018-05-31,(AM),Heavy Traffic:1221,Other:267,Mechanical Problem:216,(PM),Heavy Traffic:264,Late return from Field Trip:131,Mechanical Problem:81
2018-06-07,(AM),Heavy Traffic:907,Other:199,Mechanical Problem:165,(PM),Heavy Traffic:288,Late return from Field Trip:122,Other:90
2018-06-14,(AM),Heavy Traffic:756,Other:142,Mechanical Problem:123,(PM),Heavy Traffic:146,Late return from Field Trip:64,Mechanical Problem:48
2018-06-21,(AM),Heavy Traffic:125,Other:34,Mechanical Problem:15,(PM)
2018-08-30,(AM),Heavy Traffic:359,Other:91,Mechanical Problem:90,(PM),Heavy Traffic:31,Mechanical Problem:22,Won`t Start:11
2018-09-06,(AM),Heavy Traffic:1127,Mechanical Problem:190,Other:169,(PM),Heavy Traffic:109,Other:104,Mechanical Problem:75
2018-09-13,(AM),Heavy Traffic:1699,Mechanical Problem:231,Other:207,(PM),Heavy Traffic:400,Mechanical Problem:85,Other:71
2018-09-20,(AM),Heavy Traffic:1633,Other:220,Mechanical Problem:169,(PM),Heavy Traffic:417,Mechanical Problem:48,Other:43
2018-09-27,(AM),Heavy Traffic:683,Mechanical Problem:82,Other:70,(PM),Heavy Traffic:202,Mechanical Problem-Other:39,Won`t Start:11
2018-10-04,(AM),Heavy Traffic:464,Mechanical Problem:72,Other:70,(PM),Heavy Traffic:197,Mechanical Problem:29,Other:26
2018-10-11,(AM),Heavy Traffic:1392,Mechanical Problem-Other:198,Won`t Start:52,(PM),Heavy Traffic:491,Mechanical Problem:95,Other:68
2018-10-18,(AM),Heavy Traffic:2249,Other:312,Mechanical Problem:257,(PM),Heavy Traffic:757,Mechanical Problem:148,Other:103
2018-10-25,(AM),Heavy Traffic:1754,Other:330,Mechanical Problem:224,(PM),Heavy Traffic:603,Mechanical Problem:103,Late return from Field Trip:91
2018-11-01,(AM),Heavy Traffic:2026,Other:343,Mechanical Problem:250,(PM),Heavy Traffic:724,Mechanical Problem:88,Other:86
2018-11-08,(AM),Heavy Traffic:2359,Other:327,Mechanical Problem:246,(PM),Heavy Traffic:699,Mechanical Problem:114,Other:70
2018-11-15,(AM),Heavy Traffic:2854,Other:492,Weather Conditions:423,(PM),Heavy Traffic:921,Weather Conditions:146,Other:104
2018-11-22,(AM),Heavy Traffic:1914,Other:280,Mechanical Problem:251,(PM),Heavy Traffic:706,Late return from Field Trip:75,Other:59
2018-11-29,(AM),Heavy Traffic:1450,Other:233,Mechanical Problem:193,(PM),Heavy Traffic:516,Other:77,Mechanical Problem:63
2018-12-06,(AM),Heavy Traffic:16,Other:8,Flat Tire:4,(PM),Heavy Traffic:5,Other:4,Mechanical Problem:3
2018-12-13,(AM),Other:12,Heavy Traffic:10,Mechanical Problem:5,(PM),Mechanical Problem-Other-Heavy Traffic:2,Flat Tire-Accident-Won`t Start:1
2018-12-20,(AM),Heavy Traffic:11,Mechanical Problem:5,Other:2,(PM),Mechanical Problem-Other:1
2018-12-27,(AM),Heavy Traffic:5,Other:3,Won`t Start:1,(PM),Won`t Start:1
2019-01-03,(AM),Heavy Traffic:1061,Other:187,Mechanical Problem:139,(PM),Heavy Traffic:420,Other:77,Mechanical Problem:51
2019-01-10,(AM),Heavy Traffic:1285,Other:230,Mechanical Problem:170,(PM),Heavy Traffic:459,Other:90,Mechanical Problem:39
2019-01-17,(AM),Heavy Traffic:1090,Mechanical Problem:180,Other:174,(PM),Heavy Traffic:399,Other:73,Mechanical Problem:31
2019-01-24,(AM),Heavy Traffic:2262,Other:313,Mechanical Problem:300,(PM),Heavy Traffic:985,Other:89,Mechanical Problem:87
2019-01-31,(AM),Heavy Traffic:2611,Mechanical Problem:519,Other:419,(PM),Heavy Traffic:965,Mechanical Problem:121,Other:60
2019-02-07,(AM),Heavy Traffic:2010,Other:267,Mechanical Problem:234,(PM),Heavy Traffic:574,Mechanical Problem:77,Other:74
2019-02-14,(AM),Heavy Traffic:600,Other:102,Mechanical Problem:98,(PM),Heavy Traffic:273,Other:48,Mechanical Problem:34
2019-02-21,(AM),Heavy Traffic:1143,Other:225,Mechanical Problem:212,(PM),Heavy Traffic:324,Other:86,Mechanical Problem:49
2019-02-28,(AM),Heavy Traffic:1564,Other:257,Mechanical Problem:191,(PM),Heavy Traffic:501,Other:81,Mechanical Problem:73
2019-03-07,(AM),Heavy Traffic:1693,Other:282,Mechanical Problem:252,(PM),Heavy Traffic:549,Other:85,Mechanical Problem:82
2019-03-14,(AM),Heavy Traffic:1432,Other:275,Mechanical Problem:192,(PM),Heavy Traffic:413,Other:57,Mechanical Problem:51
2019-03-21,(AM),Heavy Traffic:1688,Other:290,Mechanical Problem:178,(PM),Heavy Traffic:434,Mechanical Problem:73,Other:60
2019-03-28,(AM),Heavy Traffic:1335,Other:365,Mechanical Problem:222,(PM),Heavy Traffic:349,Other:119,Mechanical Problem:69
2019-04-04,(AM),Heavy Traffic:1353,Other:328,Mechanical Problem:214,(PM),Heavy Traffic:370,Other:116,Mechanical Problem:72
2019-04-11,(AM),Heavy Traffic:320,Other:77,Mechanical Problem:44,(PM),Heavy Traffic:72,Other:15,Mechanical Problem:13
2019-04-18,(AM),Heavy Traffic:4,Other:2,(PM),Heavy Traffic:1
2019-04-25,(AM),Heavy Traffic:7,Other:5,(PM),Heavy Traffic:3,Late return from Field Trip-Won`t Start:1
2019-05-02,(AM),Heavy Traffic:18,Other:7,Won`t Start:2,(PM),Mechanical Problem:3,Heavy Traffic-Won`t Start-Flat Tire-Other:2
2019-05-09,(AM),Heavy Traffic:17,Other:13,Flat Tire:6,(PM),Heavy Traffic:4,Flat Tire-Other:2,Accident-Mechanical Problem:1
2019-05-16,(AM),Heavy Traffic:1108,Other:256,Mechanical Problem:148,(PM),Heavy Traffic:426,Late return from Field Trip:147,Other:100
2019-05-23,(AM),Heavy Traffic:1195,Other:226,Mechanical Problem:134,(PM),Heavy Traffic:296,Late return from Field Trip:111,Other:42
2019-05-30,(AM),Heavy Traffic:1120,Other:308,Mechanical Problem:185,(PM),Heavy Traffic:255,Late return from Field Trip:106,Mechanical Problem:82
2019-06-06,(AM),Heavy Traffic:909,Other:289,Mechanical Problem:175,(PM),Heavy Traffic:318,Late return from Field Trip:77,Other:63
2019-06-13,(AM),Heavy Traffic:1132,Other:365,Mechanical Problem:179,(PM),Heavy Traffic:313,Other:128,Mechanical Problem:71
